nombre,categoria,direccion,telefono,web,rating,num_reseñas,estado_horario,url_maps,latitud,longitud,busqueda,tiene_web
Clínica Doria,Dentista,"C. de Recoletos, 10, Salamanca, 28001 Madrid",914 35 07 14,clinicadoria.es,"4,8",88,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Doria/@40.4278147,-3.6903717,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd42289a58abf391:0x855689e0b0931044!8m2!3d40.421877!4d-3.6902756!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQdkZW50aXN0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU53T1U1MWVtRlJFQUXgAQD6AQQIABBI!16s%2Fg%2F1hc757pck?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4278147,-3.6903717,clínicas dentales en Madrid,Sí
Clínica Doria,Dentista,"C. de Recoletos, 10, Salamanca, 28001 Madrid",914 35 07 14,clinicadoria.es,"4,8",88,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Doria/@40.421877,-3.7083,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd42289a58abf391:0x855689e0b0931044!8m2!3d40.421877!4d-3.6902756!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQdkZW50aXN0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU53T1U1MWVtRlJFQUXgAQD6AQQIABBI!16s%2Fg%2F1hc757pck?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.421877,-3.7083,clínicas dentales en Madrid,Sí
Clínica Dental Puerta de Alcalá Madrid,Dentista,"Pl. de la Independencia, 9, bajo derecha, Retiro, 28001 Madrid",915 32 69 02,puertadealcalaclinicadental.com,"4,9",402,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Dental+Puerta+de+Alcal%C3%A1+Madrid/@40.421877,-3.7083,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd42289b94087baf:0xfc712c368f4811cc!8m2!3d40.4193747!4d-3.6892241!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQdkZW50aXN0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJDZVhCcGVYVm5SUkFC4AEA-gEECDQQPw!16s%2Fg%2F11bydjzxs1?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.421877,-3.7083,clínicas dentales en Madrid,Sí
Clínica Dental Puerta de Alcalá Madrid,Dentista,"Pl. de la Independencia, 9, bajo derecha, Retiro, 28001 Madrid",915 32 69 02,puertadealcalaclinicadental.com,"4,9",402,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Dental+San+Bartolom%C3%A9+18/@40.421877,-3.7083,15z/data=!3m1!5s0xd4228860ce9eeff:0xf5d58c0f045d233c!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd4228860d49ab7f:0xc82776f41c009341!8m2!3d40.4220672!4d-3.698337!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQ1kZW50YWxfY2xpbmljmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5FYURSNWNqZFJSUkFC4AEA-gEECCkQSg!16s%2Fg%2F11g_h7fcl?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.421877,-3.7083,clínicas dentales en Madrid,Sí
Clínica Dental Doctores Hurtado,Dentista,"C. de San Marcos, 37, Centro, 28004 Madrid",915 22 69 33,,"4,6",37,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Dental+Doctores+Hurtado/@40.421877,-3.7083,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd422885daae918b:0xcda4d8553117d0cd!8m2!3d40.4212509!4d-3.6971865!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQdkZW50aXN0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5TZEhWbExUQjNSUkFC4AEA-gEFCK0BECs!16s%2Fg%2F1xtf2whb?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.421877,-3.7083,clínicas dentales en Madrid,No
CENTRO DENTAL SMILING,Clínica dental,"C/ de Hortaleza, 70, Centro, 28004 Madrid",675 82 78 52,clinicasmiling.com,"4,8",193,Cerrado,"https://www.google.com/maps/place/CENTRO+DENTAL+SMILING/@40.4231504,-3.7169747,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd4228861fa29279:0xf1570ab6b6206e35!8m2!3d40.4231504!4d-3.6989503!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQ1kZW50YWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVIxYVRsdU1GbEJFQUXgAQD6AQQIABBE!16s%2Fg%2F1tg36jh4?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4231504,-3.7169747,clínicas dentales en Madrid,Sí
Clínica Dental We,Dentista,"Calle del Clavel, 6, Centro, 28004 Madrid",608 15 75 80,granviaclinicadental.es,"4,8",82,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+Dental+We/@40.4231504,-3.7169747,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd422886f3f31359:0x332c57aa7d2ba6bd!8m2!3d40.4203005!4d-3.69933!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQdkZW50aXN0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5xT1dacWJuUkJSUkFC4AEA-gEFCKEBEDA!16s%2Fg%2F1z44b1zq0?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4231504,-3.7169747,clínicas dentales en Madrid,Sí
Clínica dental MAEX Cristina Viyuela Zurbano,Clínica dental,"Calle de Zurbano, 4, Chamberí, 28010 Madrid",912 77 59 29,maexdental.com,"4,8",90,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+dental+MAEX+Cristina+Viyuela+Zurbano/@40.4231504,-3.7169747,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd42288e3e128933:0xf3165280f8ae4b89!8m2!3d40.427224!4d-3.693536!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQ1kZW50YWxfY2xpbmljmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5RYnpjdFV6WlJSUkFC4AEA-gEECAAQSA!16s%2Fg%2F11b6x6tzst?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4231504,-3.7169747,clínicas dentales en Madrid,Sí
Clínica dental MAEX Cristina Viyuela Zurbano,Clínica dental,"Calle de Zurbano, 4, Chamberí, 28010 Madrid",912 77 59 29,maexdental.com,"4,8",90,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+dental+MAEX+Cristina+Viyuela+Zurbano/@40.4231504,-3.7169747,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd42288e3e128933:0xf3165280f8ae4b89!8m2!3d40.427224!4d-3.693536!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQ1kZW50YWxfY2xpbmljmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5RYnpjdFV6WlJSUkFC4AEA-gEECAAQSA!16s%2Fg%2F11b6x6tzst?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4231504,-3.7169747,clínicas dentales en Madrid,Sí
Clínica dental MAEX Cristina Viyuela Zurbano,Clínica dental,"Calle de Zurbano, 4, Chamberí, 28010 Madrid",912 77 59 29,maexdental.com,"4,8",90,Cerrado,"https://www.google.com/maps/place/Cl%C3%ADnica+dental+MAEX+Cristina+Viyuela+Zurbano/@40.4231504,-3.7169747,15z/data=!4m10!1m2!2m1!1scl%C3%ADnicas+dentales+en+Madrid!3m6!1s0xd42288e3e128933:0xf3165280f8ae4b89!8m2!3d40.427224!4d-3.693536!15sChxjbMOtbmljYXMgZGVudGFsZXMgZW4gTWFkcmlkWh4iHGNsw61uaWNhcyBkZW50YWxlcyBlbiBtYWRyaWSSAQ1kZW50YWxfY2xpbmljmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5RYnpjdFV6WlJSUkFC4AEA-gEECAAQSA!16s%2Fg%2F11b6x6tzst?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",40.4231504,-3.7169747,clínicas dentales en Madrid,Sí
